"rab.all"	"rab.win.trH"	"rab.win.trRT"	"rab.sample.B121"	"rab.sample.B122"	"rab.sample.B123"	"rab.sample.B124"	"rab.sample.B125"	"rab.sample.B126"	"rab.sample.B127"	"rab.sample.B128"	"rab.sample.B137"	"rab.sample.B138"	"rab.sample.B139"	"rab.sample.B140"	"rab.sample.B141"	"rab.sample.B142"	"rab.sample.B143"	"rab.sample.B144"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Erysipelotrichaceae"	1.74989406311149	2.15005047002439	1.19907196761597	2.15873229184303	2.14127721945052	1.43175747522074	1.8707609949933	3.74476975712628	4.0790761800631	2.45579035011344	1.39646125567718	1.08351774439213	1.04061844550429	3.66352408502915	0.661897458163441	2.54115128937474	1.19935580063876	0.600365534958885	1.46702912450686	0.901657658182022	1.5964870138161	0.579890900113901	0.220273033413242	0.125617826325681	0.403563213130176	0.0736536033411033	0.272141283040995	"Not significant"
"Family_XIII"	-1.29203043337799	-1.32195832822956	-1.26288788963218	-1.48567326942286	-2.2464903957015	-1.1694247994615	-1.74394934204765	-1.20432167530333	-1.28824440010204	-0.381313928448531	-1.08440427080679	-1.30963186797371	-2.1880538835123	-0.239236018270426	-1.22872875881532	-2.19593900703295	-0.919038229315949	-1.49928945041574	-0.930531052739311	-0.0457321917468549	0.933366974153374	-0.0378754430332595	0.479532170234768	0.724202880950667	0.85508764418526	0.742325903263403	0.843204741492182	"Not significant"
"Gastranaerophilales.other"	-7.88017531538909	-8.20245910393452	-7.39219510426651	-0.57063750370278	-8.96541217571118	-8.90826474730282	-8.43860894307897	-8.89358640823692	-8.42771569591056	-8.36220383731202	-9.18284912242061	-9.72703125462423	-9.75604826248099	-8.30683958420295	-9.15312028575919	-0.476711863046472	0.110920863436801	-1.40161276871308	-9.20158235941339	-1.54558899845854	7.35241796310233	-0.228738054041886	0.384765663686849	0.450563253659618	0.669439274973821	0.529783411033411	0.690381026327219	"Not significant"
"Lachnospiraceae"	5.9822060133634	6.01208853514188	5.96156052056234	4.87358978851559	5.80129848980954	6.84340411106501	5.54076906337639	5.42187356758535	7.03430988807518	6.2034685892885	6.87866714701132	6.7965857136368	6.72186230936254	5.76098143885589	6.74189086257554	5.18749934687887	5.96699455996794	5.41980927288225	5.78141221739583	0.0261374744530203	1.13587976965341	0.0286901497225254	0.489278755833123	0.823847776710691	0.914678709068069	0.818110188422688	0.898757951548102	"Not significant"
"Lactobacillaceae"	0.662628607605251	0.554346118956856	1.13375810481947	-0.291406100731583	0.824341545506548	1.69801138957205	1.08999810989548	1.50689747512471	0.25278680156407	-0.193446318687036	-0.926110901391946	0.0975445642256174	-0.72315642719443	1.89350664461347	0.508281789599534	2.8887601639026	1.90400043295587	0.305392123319286	1.73024244402352	-0.607343921241411	1.5836459068765	-0.348518117589921	0.341796930886267	0.312144905355048	0.573748110861745	0.346097999222999	0.566910043478268	"Not significant"
"Marinifilaceae"	1.11605811192647	-0.224740326161726	2.09171653885933	-1.44351037607719	-1.47806654323179	2.44334384817534	-2.32234781550655	1.08330928159515	-0.540637492172025	0.360483579798761	-0.0409559882232262	1.2042674379049	1.33499959671913	3.32804924062944	3.0399787682725	2.61756607495709	1.3556008946853	0.180923691474586	3.02128010633654	-2.5572536822637	1.97197136180509	-1.16339027462153	0.125000272475661	0.00668709917228177	0.0656719634459284	0.00800189393939394	0.0651470924908425	"Significant"
"Mollicutes_RF39.other"	1.29220780643984	0.915168206244284	1.39980167335738	1.91054536494939	0.320922146256979	2.19492916101567	1.42915120128285	1.39495726816474	-0.839274163014378	-0.233961248495779	0.0210537727744038	1.46899688583419	0.327140630223585	0.569533338738275	2.23552621133732	1.43683373254642	2.85696322202323	0.801097146790352	1.56347024295307	-0.63541832799699	1.43028516123018	-0.456442221193386	0.333333392705719	0.23494918402029	0.51300437614684	0.319318181818182	0.541300117409132	"Not significant"
"Muribaculaceae"	8.15734514431156	8.31744090624846	7.57900179934457	7.42144252971304	8.21194115470506	8.57716204355068	8.27956493284093	8.48074565541019	8.45186049340705	8.4243081530027	8.06827847652345	6.54763600548192	7.01870736543201	9.24586591258484	7.63006070062627	8.80008685618539	7.42737183169572	7.29086534982824	8.21455570042858	0.619302422068741	0.96834323141304	0.512958150173251	0.302144323796076	0.252079650658588	0.511356253315855	0.269584061771562	0.490016359047815	"Not significant"
"Peptococcaceae"	-0.948216737021244	-0.551407905894784	-1.13500200535663	-1.3157282795738	-1.60308223344997	0.255359029290489	-0.819483032996136	-2.14276971886958	-0.222276516527374	-0.165019649975838	0.0491099964713007	-0.368041791004996	-0.708452067557832	-8.14490612625273	-0.784620792411758	-2.63848474787755	-1.03404673705999	-1.59130149379033	-1.28080468407181	0.657082383777054	1.51987588350499	0.295809269567319	0.317738857980427	0.215710311873197	0.492363049510965	0.224087024087024	0.441135337730638	"Not significant"
"Prevotellaceae"	4.67388804215131	4.77497683706292	4.27015769369469	4.41128592103293	4.92830478571879	4.33843679698666	5.34125260495739	4.78055160636939	4.57351482184919	4.98930036959186	4.84275888177759	4.12889785699987	3.43192494198772	6.15582951597868	4.00311442566458	4.97863037618047	5.24381203529315	4.2946487545551	3.83125262431632	0.414578094560415	0.86726962599978	0.389335616469723	0.34375005504604	0.484014662028058	0.707180217980135	0.338410547785548	0.547079965625215	"Not significant"
"Rhodospirillales.other"	1.68064471329353	2.07676042751712	1.20435674682709	1.8885503002134	1.04542847883952	2.07106755855405	4.98098146940891	1.95541240524025	3.6175607689842	3.2702831365185	1.10274871802417	1.77736947839953	2.354075030971	1.36353021070927	-0.266560832830656	1.57171967848149	0.99870269766173	0.987926144662018	0.769134128261634	1.08911534060614	1.5377105392389	0.66303851030138	0.216374401425912	0.0441298723927544	0.213662956264185	0.0637031371406371	0.241507965895987	"Not significant"
"Rikenellaceae"	6.23279558578462	6.03251221651304	6.70807674575245	5.46892277207157	6.07276965722257	6.54825202014389	6.35552607334156	5.95860820496131	5.2026035834081	6.27824095103504	5.93869761913655	5.42444348073486	5.82262312519634	7.34645285949074	7.14383887848571	7.03751960942611	6.95847051847995	6.21596895904168	6.39242084135719	-0.582721805257327	0.88661821648082	-0.641712230180951	0.243664827458262	0.0978344904457886	0.315073018474545	0.130279963092463	0.338417344713062	"Not significant"
"Ruminococcaceae"	5.80170255365858	5.87919437110603	5.74519486686367	5.94443874126063	5.56872985644749	6.24461434448272	5.7167379968138	5.42779229667338	5.37275330382509	6.4693662614078	6.53967224590008	5.68239708844606	5.44880705277673	6.33779150777852	5.97066878246758	5.93594273766677	5.70435734876441	5.29753972324752	5.7068478312383	0.128425608911936	0.644492356244421	0.167465109475605	0.423001974291642	0.53748597152014	0.720808488017099	0.638767482517482	0.771232874682272	"Not significant"
"Saccharimonadaceae"	-7.56736941690317	-8.3159926576201	-6.54368742541541	-9.84718571864517	-8.71095811560929	-8.88550258007642	-8.39300965081747	-9.33802559194843	-8.52059265808103	-8.20941985962304	-5.38531807042434	-9.5405166597722	-9.95724528601269	-7.93868527448753	-4.52616377322586	-8.68771246217039	-5.7904072004035	-5.68655117240735	-4.40998015818841	-1.45785130696618	4.25009978315652	-0.311019432039695	0.34375005504604	0.43320740592982	0.627361267901821	0.378667686480186	0.567116170724584	"Not significant"
