Group	P Benjamini-Hochberg	P Benjamini-Hochberg	P Benjamini-Hochberg	P_values	P_values	P_values	log2FC	log2FC	log2FC	median_diff	median_diff	median_diff
	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH	TempOVA	TempOVA-t	TempSH
Eggerthellaceae	0.15166080511394614	0.9349253116420776	0.3217465856202107	0.058521681071101575	0.7740851352933925	0.2075784423356198	-1.5818492592630076	0.7331369909794336	-0.4872443838125698	-8.982831096888166e-05	5.493897020325979e-05	-2.740385537246116e-05
Erysipelotrichaceae	0.060893105367348224	0.570067684959595	0.06508522962476096	0.0157143497722189	0.12081938653567048	0.0356919001168044	-0.8495787350551618	-0.633663821064915	0.7736906622511066	-0.008741760238861106	-0.005212150102823363	0.006064168847646359
Family_XIII	0.039202275714027686	0.9349253116420776	0.040421253269733	0.006322947695810918	0.8702827722810258	0.020862582332765417	1.6746644867143363	0.3540724515144742	1.0854818777948037	0.0010863654097285334	0.00011653722061880166	0.0005914938097462653
Gastranaerophilales other	0.08501177858219944	0.13920040424943164	0.025948518113773262	0.027423154381354658	0.008980671241898816	0.011718685599768571	1.0469894425552455	-3.392080028065596	0.8445934586308388	0.005804041638249118	-0.0069388120458477535	0.004709642439063555
Lachnospiraceae	0.313952018709669	0.8795631617162972	0.4644101445694169	0.17216723606659268	0.6242061147664044	0.3445623653256964	0.5024207974976305	0.1864324030051012	-0.6122736525286343	0.03388884699531211	0.006174741377153528	-0.05588964242910102
Lactobacillaceae	0.3574962062446786	0.07809218820560848	0.032476322862585734	0.2075784423356198	0.002519102845342209	0.0157143497722189	0.19570660705625453	1.5904345237197957	1.2764610144854664	0.0006024423289078939	0.002821389624094656	0.0033288311326510407
Marinifilaceae	1.0	0.9349253116420776	0.7778042664718183	1.0	0.8702827722810258	0.75271380626305	-0.06342462975734353	-0.4440940262090489	-0.04548836131849576	-0.000746948280937413	-0.004756067749533821	-0.0004952452511003368
Mollicutes_RF39 other	0.313952018709669	0.570067684959595	0.597072847078823	0.17216723606659268	0.22067136191984324	0.4622499461255404	-0.38280524457866427	-0.6899411639021968	0.6104210361744657	-0.0020963238405585357	-0.002815220203983412	0.002748004101741126
Muribaculaceae	0.060893105367348224	0.9349253116420776	0.016925470328361072	0.0157143497722189	0.8702827722810258	0.0032758974829085945	-0.4650729639240929	0.05324102456428237	-0.6920278174100882	-0.12693512459069928	0.02001817245556081	-0.17950913542631408
Pasteurellaceae	0.8848997408649327	0.8310704494544443		0.8563545879338058	0.5629832076949461		0.0	0.0	0.0	0.0	0.0	0.0
Peptococcaceae	0.5402277935161269	0.570067684959595	0.04900284464253461	0.4008141693829329	0.12081938653567048	0.006322947695810918	-0.8178804206322337	-1.3648463958037151	-1.197747823239201	-0.0008391475565086579	-0.000814850360908761	-0.0012256876913660322
Peptostreptococcaceae	0.2550496912118995	0.9349253116420776	0.04900284464253461	0.1151837315150514	0.9349253116420776	0.006284496115057523	0.7025278847912428	0.16604159639486404	1.6502026276462465	0.0006542913039559841	7.008624793693946e-05	0.0007115704153691574
Prevotellaceae	0.40462475051452296	0.7961251257593455	0.025948518113773262	0.2479958148314818	0.5136291133931261	0.011718685599768571	-0.249879361976324	0.32276794028099604	1.5729459931068366	-0.010722901067071676	0.00875754743398445	0.04070491687526023
Rhodospirillales other	0.7743387496034825	0.570067684959595	0.04900284464253461	0.6744240722352912	0.14164469029513227	0.004574439456210672	-0.3300835386876848	-1.1259827521897012	2.6238592791133453	-0.0011682732336068908	-0.0007639753417422022	0.0035753725497530897
Rikenellaceae	0.29239638439776394	0.6356852946424699	0.4644101445694169	0.141482121482789	0.3691075904375633	0.3445623653256964	0.2925758986945146	-0.2487386174298196	0.21422082749775706	0.018558851831680767	-0.011972504860971428	0.014771342158998613
Ruminococcaceae	0.597072847078823	0.570067684959595	0.7778042664718183	0.4622499461255404	0.1914184252376039	0.75271380626305	0.1276881319300025	-0.1340368296278096	-0.10164400307379616	0.006413489640721498	-0.006485619946487636	-0.005449327274309759
Tannerellaceae	0.17694659624787812	0.9206884064172928	0.022349815629364386	0.07420341132975533	0.6830913983096043	0.006322947695810918	1.390079268116332	0.03106307061087321	2.460464117779096	0.0058651399316854815	9.4826185133446e-05	0.008205325903787345
