Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
shRTC4	clean	15219633.0	3027202505	15113218.0	3016602583	106415	10599922	2018-12-01-18:41:15
shRTC4	QC	15300914.0	3043329621	15193505.0	3032630631	107409	10698990	2018-12-01-21:19:06
shHC8	raw	25859609.0	5171921800	25859609.0	5171921800	0	0	2018-12-01-07:25:20
shHC8	deduplicated	23905456.0	4781091200	23905456.0	4781091200	0	0	2018-12-01-09:16:33
shHC8	filtered	23779796.0	4702033837	23365769.0	4660794498	414027	41239339	2018-12-01-09:29:33
shHC8	clean	12504447.0	2485470126	12400507.0	2475130226	103940	10339900	2018-12-01-22:01:32
shHC8	QC	12562866.0	2497081682	12458413.0	2486690684	104453	10390998	2018-12-01-22:11:10
shRTF5	raw	35829445.0	7165889000	35829445.0	7165889000	0	0	2018-12-01-07:00:24
shRTF5	deduplicated	32909256.0	6581851200	32909256.0	6581851200	0	0	2018-12-01-07:58:26
shRTF5	filtered	32826467.0	6520026745	32503963.0	6487853912	322504	32172833	2018-12-01-09:04:34
shRTF5	clean	31515628.0	6290844917	31515628.0	6290844917	0	0	2018-12-01-18:35:15
shRTF5	QC	31957280.0	6349029304	31657021.0	6319074258	300259	29955046	2018-12-01-18:37:14
shHF4	raw	40589034.0	8117806800	40589034.0	8117806800	0	0	2018-12-01-06:50:24
shHF4	deduplicated	37460267.0	7492053400	37460267.0	7492053400	0	0	2018-12-01-07:53:27
shHF4	filtered	37409317.0	7435337699	37098759.0	7404360036	310558	30977663	2018-12-01-08:43:33
shHF4	clean	36135904.0	7212461340	36135904.0	7212461340	0	0	2018-12-01-14:28:56
shHF4	QC	36609695.0	7278017100	36319036.0	7249022956	290659	28994144	2018-12-01-14:30:31
shHF8	raw	36147165.0	7229433000	36147165.0	7229433000	0	0	2018-12-01-06:59:24
shHF8	deduplicated	32752628.0	6550525600	32752628.0	6550525600	0	0	2018-12-01-07:59:29
shHF8	filtered	32716446.0	6491327309	32334900.0	6453341653	381546	37985656	2018-12-01-09:10:34
shHF8	clean	29590753.0	5906672854	29590753.0	5906672854	0	0	2018-12-01-19:07:56
shHF8	QC	30055005.0	5968341180	29745098.0	5937488697	309907	30852483	2018-12-01-19:10:32
shHC2	raw	35303345.0	7060669000	35303345.0	7060669000	0	0	2018-12-01-07:02:24
shHC2	deduplicated	32788947.0	6557789400	32788947.0	6557789400	0	0	2018-12-01-08:17:33
shHC2	filtered	32695276.0	6459020107	32053662.0	6395025096	641614	63995011	2018-12-01-08:43:00
shHC2	clean	14554238.0	2892401879	14426981.0	2879712301	127257	12689578	2018-12-01-14:14:06
shHC2	QC	14629630.0	2907348951	14501312.0	2894553524	128318	12795427	2018-12-01-21:20:21
shRTF1	raw	33955187.0	6791037400	33955187.0	6791037400	0	0	2018-12-01-07:16:21
shRTF1	deduplicated	30953136.0	6190627200	30953136.0	6190627200	0	0	2018-12-01-08:38:00
shRTF1	filtered	30930170.0	6153537949	30735956.0	6134192588	194214	19345361	2018-12-01-09:13:00
shRTF1	clean	30475065.0	6082172417	30475065.0	6082172417	0	0	2018-12-01-18:35:15
shRTF1	QC	30813636.0	6130610425	30622188.0	6111540461	191448	19069964	2018-12-01-18:37:55
shHC5	raw	34871458.0	6974291600	34871458.0	6974291600	0	0	2018-12-01-07:09:21
shHC5	deduplicated	32099168.0	6419833600	32099168.0	6419833600	0	0	2018-12-01-08:20:04
