	A2	ASF356	Acetatifactor	Acinetobacter	Adlercreutzia	Akkermansia	Alistipes	Alloprevotella	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroidales other	Bacteroides	Bacteroidia other	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Caproiciproducens	Chloroplast other	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	Coriobacteriales other	Corynebacterium	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dialister	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enhydrobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Firmicutes other	Flavonifractor	Fusobacterium	GCA-900066225	GCA-900066575	Gardnerella	Gastranaerophilales other	Haemophilus	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Izimaplasmatales other	Kallotenuales other	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NC2004_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillales other	Lactobacillus	Lactonifactor	Lawsonella	Marvinbryantia	Megasphaera	Mitochondria other	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Novosphingobium	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Parabacteroides	Parasutterella	Pasteurellaceae other	Peptococcaceae other	Phocea	Porphyromonadaceae other	Prevotella_9	Prevotellaceae other	Prevotellaceae_UCG-001	Proteobacteria other	Pseudoflavonifractor	Pseudomonas	Rhodospirillales other	Rikenellaceae other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Senegalimassilia	Shuttleworthia	Streptococcus	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3	XBB1006
B154	33	163	285	0	0	2763	6862	0	2	345	75	339	99	97	77	0	3276	0	61	1071	0	117	0	0	0	0	0	4	0	0	0	16	0	251	4068	0	0	0	0	71	0	0	0	0	5	0	0	0	11	130	0	3416	30	8	12	0	67	0	93	411	0	243	0	36	0	246	327	5	0	1533	4223	248	0	0	9952	0	894	121	42	166	7	0	961	0	0	0	0	0	214	1762	27533	1561	0	935	18	2157	0	482	2167	0	125	33	0	0	0	947	0	0	0	208	0	661	0	1523	1198	498	114	1014	1555	36	21	0	39	367	257	17	1754	328	0	21	0	0	197	54	0	0	0
B155	49	143	167	0	0	2119	2506	0	0	15	42	166	19	0	15	0	2200	0	28	503	0	74	0	0	0	0	0	0	0	0	0	5	0	66	715	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	0	1336	12	2	6	4	37	0	92	231	0	90	0	32	0	167	281	0	0	743	2937	137	0	0	4801	0	133	13	14	52	6	0	749	0	0	0	0	0	116	498	23714	1128	0	264	37	1011	0	321	1394	0	42	45	0	0	0	539	0	0	0	38	0	186	0	520	645	169	64	715	677	31	10	0	10	149	81	8	352	222	0	18	0	0	44	13	0	0	0
B156	0	33	115	0	0	3607	3749	0	0	0	0	72	12	0	9	2	2636	0	79	433	0	40	0	0	0	0	0	0	0	0	0	25	0	89	699	0	0	0	0	10	0	0	0	0	0	0	0	9	9	0	0	1177	7	5	4	0	36	0	36	224	0	144	0	0	0	91	345	0	0	688	3993	68	0	0	2112	0	1437	34	16	60	3	0	436	0	0	0	0	0	60	267	32394	1296	0	309	34	1310	0	450	1524	0	98	0	0	1	0	1251	0	0	0	177	0	270	0	332	919	125	333	861	612	15	0	0	8	163	38	0	965	499	0	0	0	0	67	19	0	0	0
B157	43	174	200	0	0	2155	2474	0	0	17	45	177	13	0	11	0	2011	0	19	454	0	62	0	0	0	0	0	0	0	0	0	11	0	72	700	0	0	0	0	0	0	1	0	0	1	0	0	0	0	10	0	1183	16	0	4	0	29	0	70	246	0	71	0	15	0	234	278	0	0	669	3249	106	0	0	4905	0	173	17	35	63	4	0	668	0	0	0	0	0	80	623	22905	1114	0	232	34	1109	0	256	1332	0	64	39	0	1	0	456	0	0	0	44	0	158	0	516	709	155	70	913	800	17	0	0	6	156	86	1	245	269	0	20	0	0	19	15	0	0	0
B158	11	89	129	0	0	2655	4794	0	2	29	0	79	25	0	13	0	3336	0	0	583	0	100	0	0	0	0	0	0	0	0	0	27	0	48	1664	0	0	0	0	25	0	0	0	0	0	0	0	10	36	6	0	969	0	8	6	0	29	0	83	385	0	558	0	40	0	242	461	0	0	711	3273	139	0	0	6835	4	370	18	60	29	11	0	1002	0	0	0	0	0	146	463	22104	1334	0	142	9	1780	0	413	860	0	142	46	0	0	0	1701	0	0	0	164	0	347	0	981	1222	212	290	1154	806	49	0	0	0	211	49	0	1402	239	0	0	0	0	107	44	0	0	0
B159	5	0	248	0	0	7445	4142	0	0	22	117	153	51	82	28	0	2133	0	99	896	0	62	0	0	0	0	0	0	0	0	0	17	0	85	2391	0	0	0	7	23	0	0	0	0	2	0	0	0	0	54	0	3628	3	5	8	0	39	0	49	403	0	101	0	5	0	113	339	0	0	645	4630	69	0	0	5457	0	37	20	22	85	6	0	519	0	0	0	0	0	156	973	24078	1462	0	273	14	756	0	636	1915	0	123	3	0	0	0	982	0	0	0	201	0	373	0	396	573	499	202	852	742	52	8	0	39	403	113	22	403	1498	0	16	0	0	132	26	49	0	0
B160	24	11	169	0	0	2493	5008	0	0	0	51	205	46	0	42	0	2610	0	32	719	0	42	0	0	0	0	0	0	11	0	0	16	0	399	3163	0	0	0	0	49	0	0	0	0	0	0	0	0	8	48	0	1925	0	16	17	0	16	0	66	260	0	186	0	41	0	174	287	0	0	988	3782	77	2	0	5762	0	310	25	27	41	9	0	602	0	0	0	0	0	159	827	22741	1191	0	362	28	1634	0	532	1174	0	96	57	0	0	0	1454	0	0	0	258	0	186	0	609	616	397	345	965	756	62	0	0	23	353	128	2	904	892	0	0	0	0	136	0	126	0	0
B161	260	74	63	0	0	3052	5335	0	0	0	82	250	6	0	0	0	1299	4	0	380	0	562	0	0	0	0	0	0	0	0	0	16	0	106	2046	0	0	0	0	98	0	0	0	2	0	0	0	0	0	27	0	706	15	4	2	0	0	0	20	129	0	524	0	103	0	112	293	0	0	702	3789	107	0	0	6701	2	128	7	31	8	0	0	225	0	0	0	0	0	120	576	24027	563	0	373	15	890	0	148	694	0	53	27	0	0	0	1078	0	0	0	331	0	100	0	446	927	401	1159	735	374	0	8	0	140	247	135	11	1440	260	0	13	0	0	21	0	0	0	0
B162	2297	701	596	0	0	61	7938	9	0	8	196	353	10	0	43	0	3310	0	9	355	0	166	0	0	0	0	0	0	0	0	0	18	0	75	3576	0	0	0	21	0	0	0	0	0	898	0	0	11	9	50	0	196	30	18	20	0	63	0	86	246	0	552	0	118	0	125	386	0	0	1593	6751	145	0	0	6718	0	2143	0	16	84	23	0	406	0	0	57	0	0	504	1745	26796	1338	0	303	20	743	0	120	1084	0	126	30	0	0	0	958	0	0	0	268	0	221	0	2304	1471	328	142	703	876	12	15	42	18	227	105	58	1255	36	0	40	0	0	42	21	0	0	4
B163	75	17	122	0	3	1857	5700	0	0	9	19	214	0	0	77	0	1687	0	0	384	3	121	0	0	0	0	0	0	0	0	0	18	0	89	1999	0	0	0	0	55	0	0	0	9	0	0	0	0	19	72	0	2683	6	0	8	0	6	0	34	160	0	529	0	80	0	150	133	0	0	938	1541	154	0	0	2964	0	151	21	9	145	0	0	274	0	0	0	0	0	214	542	31867	1167	0	337	25	897	0	350	1915	0	140	0	0	0	0	1474	0	0	0	363	0	51	0	1089	435	462	733	570	583	42	0	0	75	387	91	6	2042	280	0	15	0	0	117	0	0	0	0
