	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Feces	Feces	Feces	Feces	Feces	Feces
	Abundance	Pvalue	Statistic	log2FC	median_diff	pBH	Abundance	Pvalue	Statistic	log2FC	median_diff	pBH
KO												
K00016	0.5829734361323655	0.6061002929044861	0.5340278711475056	-0.10419130594224268	-0.041643344598250476	0.6893492461789165	0.5992288917986923	0.004647209205200607	3.4967215937087435	-0.18856374927881903	-0.07503662915665654	0.015067430408974363
K00018	0.5276722864178653	0.4822682163415427	0.7273124842168788	-0.01755379229991616	-0.006422134910771815	0.5732434254827357	0.5330703938826346	0.23956740051531922	1.2332240646788932	-0.10992825632653902	-0.040002527018412226	0.34615564062610177
K00020	0.21194984047703147	1.0282331266672472e-05	6.8124730153735475	-0.7457005249020696	-0.10734980867597388	0.00023989790448527057	0.20808305135766245	0.00015105261797631787	5.506980228667462	-0.8097651343177505	-0.13495345389827262	0.0009397922340040101
K00024	0.15371763441668723	0.7817760111530743	0.2824942896480709	-0.10544908167316214	-0.010969616222281153	0.8337942597301964	0.13824149507600136	0.24307587017923457	-1.2371959591423836	0.31796759144945375	0.028397930012303188	0.3501631121105119
K00027	0.6392973309969846	0.4573420435925547	0.7688796538330035	-0.023022717262523806	-0.010201723353554293	0.5499055525507389	0.6839448846328631	0.14466291044036236	1.5457848717887954	-0.06220229232747887	-0.029049009991986563	0.22987622169837607
K00029	0.23425438954340244	1.4974353151060095e-06	8.436289922644255	-1.0946836541564227	-0.1686938161083713	6.155528741739346e-05	0.21066445205952272	1.6019880691627206e-06	9.451764422206328	-1.134331264083384	-0.17945351005325738	5.5042023881908094e-05
K00030	0.03598318964900876	0.0015591364298546445	3.9141202660300336	-0.7230910341353356	-0.01844784152475581	0.010177123047803568	0.04545973072508353	0.015784305170120538	2.782742271885557	-0.5878934300660541	-0.017502224454763946	0.04205494271020541
K00031	0.6033016811025433	0.002500634031009882	3.7873596981990194	-0.2215748479041737	-0.08930884313430931	0.014616819044144243	0.6090334244783728	5.6142447863369124e-05	6.091464771779645	-0.35130601851644816	-0.1408474321449057	0.00044361526881513407
K00033	0.025564607647399026	0.10705440559875595	-1.845891520148846	1.0958009108728612	0.019981616565793493	0.19662705453856613	0.026009605180090233	0.03551882116837342	-2.563199388956779	1.1749320021315803	0.021124192934768145	0.08100824933579485
K00036	0.023884289236593036	0.12246715569727919	-1.7539323631352628	0.9316727663462938	0.01356884039640703	0.21652795116369947	0.02501097239397259	0.04241486319262398	-2.445304043710546	1.1533960809628478	0.01997628482137675	0.08590948485066645
K00041	0.1697953660526614	0.00014259873988004332	-5.481280723705629	0.49111470673860325	0.060092158583533645	0.0017037835598816247	0.16809375299196644	6.921438176653519e-05	-7.381930004368627	0.6796182950574412	0.08476796193581682	0.0005264256833476784
K00042	0.15268614236864525	1.6573558319894236e-07	9.598891244443166	-1.9923399484635484	-0.1733870691868484	2.6487217690445482e-05	0.1167540745653036	1.957950746067733e-05	8.780807420278045	-1.9185380857967997	-0.19586517825972372	0.00022022162625967044
K00046	0.2796770793174441	0.0024148642517784224	-3.928897076083247	0.43289323047263606	0.08774461051283589	0.014229566998960568	0.27984522461631467	0.0006336986113331261	-4.449545637515677	0.4284963777164481	0.07842799678146173	0.002864085477661367
K00048	0.20484821223545818	0.013578371100623233	2.847066022481731	-0.2947558964121386	-0.04146387807704996	0.048237053338235025	0.20339286775741106	0.002975946389263734	3.5868001226603905	-0.39466689490485285	-0.05171196969325825	0.01044303138427609
K00052	0.7145524854077374	0.02451505392442417	2.6829453210714473	-0.07122464398556932	-0.035253325058926865	0.07626169477570871	0.7210488465688301	3.543280678859987e-06	7.463026462189813	-0.1652241866112148	-0.08191230464090771	8.996285429487894e-05
K00053	0.7090235877059515	0.02582030103913066	2.5601365880151836	-0.09582884542230535	-0.04631915131435249	0.0786221335874058	0.7123157440209285	0.00026693501828149827	4.842898937019544	-0.1512124692730462	-0.07535270994599585	0.0014285786120459443
