	diff.btw	diff.btw	diff.win	diff.win	effect	effect	label	label	overlap	overlap	rab.all	rab.all	rab.sample.B121	rab.sample.B122	rab.sample.B123	rab.sample.B124	rab.sample.B125	rab.sample.B126	rab.sample.B127	rab.sample.B128	rab.sample.B137	rab.sample.B138	rab.sample.B139	rab.sample.B140	rab.sample.B141	rab.sample.B142	rab.sample.B143	rab.sample.B144	rab.sample.B169	rab.sample.B170	rab.sample.B171	rab.sample.B172	rab.sample.B173	rab.sample.B174	rab.sample.B175	rab.sample.B176	rab.sample.B184	rab.sample.B185	rab.sample.B186	rab.sample.B187	rab.sample.B188	rab.sample.B189	rab.sample.B190	rab.sample.B191	rab.win.H	rab.win.RT	rab.win.trH	rab.win.trRT	we.eBH	we.eBH	we.ep	we.ep	wi.eBH	wi.eBH	wi.ep	wi.ep
	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	TempTransplanted	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	Temp	TempTransplanted	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted	Temp	TempTransplanted
Clostridiaceae_1	8.105452317075809	-0.43465952976008604	4.55637346650448	6.03795061499201	1.60626734510005	-0.0689987655917934	Significant	Not significant	0.0253426515974776	0.476562507466978	-1.15870347842072	-7.46283666415524	-9.424362151703289	-9.11928542917703	-2.69006977054133	-0.8814617043020749	-9.11778522358066	-8.599138230501481	-8.430971540250269	-8.837804269431029	-3.35814171166655	-4.3970739989945296	-8.409245511612719	-3.27238001592232	-8.72319891159457	-8.68164937326397	-10.0780562583222	-9.212126001807231	2.9735437522447996	3.78784237619081	2.7132067231389	2.38396854974538	2.2593148073921605	-1.88617147308964	0.927618308329055	0.193506187408803	-9.74866808232605	-8.25862129915213	-8.16206600667048	-9.01749419165337	-4.657102318947651	-7.35860367152777	-0.752297356196427	-1.58185640089649	2.31561323841198	-6.436473419516879	-7.82798416114337	-6.9882275831932805	0.00497334063815505	0.8153648287662071	0.000948023402462348	0.653492932625689	0.00415725688452961	0.8045891122922629	0.0005621114996115	0.67949324980575
Clostridiales.other	-2.8850648329878097	-0.24980498563975098	5.0233251356752	1.46041129060382	-0.516107820040197	-0.16676853719106602	Not significant	Not significant	0.282651156984055	0.43274855969941706	-3.37629789614137	-1.45378135518532	-2.61406581112319	-1.91052271868494	0.0441773119607971	-2.9492981470597703	-2.6351181076722403	-0.844043580273159	-1.09244661799772	-1.0581597142891601	-1.69487697462372	-1.37616584910137	-0.358535265683931	-0.50304623713546	-1.28494473305982	-1.94998026474961	-1.44076163018576	-2.75836863158329	-9.362544916332881	-6.878358581467661	-4.1035313409775	0.8866706881097421	-3.6104028944813997	-1.9335598543981	-9.23793823345567	-3.9836949269696897	-0.3789358526772279	0.197382362446088	-3.31308761149556	-4.89572126768291	0.7985280716259209	-1.5087849074115902	-8.01603586354417	0.209148665072185	-4.130993280078839	-0.7841429707456509	-1.5175211469523897	-1.4370541500786	0.252943598008892	0.8285265041532428	0.18395543613669701	0.6544189266281021	0.264457285346777	0.842234296005765	0.18948013791763801	0.7240785256410259
Clostridiales_vadinBB60_group	-1.3831871879873703	-1.05076142290821	1.26274999132582	1.31981452776025	-1.0123955414871	-0.7954762403268191	Significant	Not significant	0.122807294725745	0.195312654068659	1.15050950072897	1.90804198720422	0.0991468558775477	1.6431226606705502	2.8662891117475597	0.0764381703179646	1.6017367086838301	1.9199786824073701	1.7110736956708703	1.3852087791674799	2.4643237833872798	2.72860850079191	2.77003117349203	3.6801106578023397	1.62143496161638	1.35480782301056	2.92493787869156	2.02925155248358	-0.0954187731095271	0.49134451368271703	1.33882829297169	-1.0155890766670002	-0.31890149811476304	0.4460224613644171	0.42154751826320097	1.77062928279344	1.7790706386949098	2.45830472019959	1.09768374633125	1.366576887345	1.9857312627817898	2.96119661226973	0.416058681917765	1.87027607010571	0.360497572159316	1.7902686780188601	1.5820931584730802	2.57252639383302	0.0273487627542898	0.178635293676346	0.009603336258233041	0.036969943380261	0.0368054998673851	0.226106107449294	0.0149524087024087	0.0627974456099456
Deferribacteraceae		-0.37329669794505105		1.8670336182866298		-0.165635797627363		Not significant		0.406250030888192		-0.0241537605054232	0.47956156526513793	-0.814423862525823	3.01712658506814	-0.8693480634485559	-1.7448128311814601	-0.34059812722135	-0.40540111058099104	3.67107047730866	1.68553006178878	1.64748134501745	-0.0696590957992989	-0.787590391320323	-0.21191087371146802	0.0126651438086238	0.624598785078337	-0.0682738966884653																			-0.32869119431451504	0.11608607912730999		0.9453355782698449		0.8972556502959351		0.7436607059200729		0.568161179098679
Defluviitaleaceae	1.23565750702092	1.19193486083172	3.36052511804252	3.26164700917481	0.395866069225438	0.339356939464681	Not significant	Not significant	0.24804698235266198	0.244140735188899	-0.855081625917947	-1.40934668228555	-1.31516673240134	-0.24067144228292103	-8.99989789182611	-0.8151436363412901	-0.26013972549832604	-0.403324004033356	-0.121054600112706	-1.25563749418025	-1.6234616871594199	-4.36997029686865	1.64502093593163	-1.7819198306785	-8.36094231388152	-1.91868757286271	-1.9450034979047501	-1.5769833951097199	-0.7199538412454909	-0.0576112387998879	-1.9839574522621102	-0.711136442693231	0.0438975750383728	-0.9014618719921601	0.3826765491228689	-0.457027506262778	-0.8344105342926371	-7.83665783992161	-1.29935904322171	-0.7978910483876899	-8.24426587928616	-1.81559722063268	0.943240489346716	-8.271211576473451	-0.547874368734877	-1.56065660264332	-0.646980563454699	-1.8488306418126499	0.146389988602979	0.7805937099224259	0.0886801597584216	0.595225850836327	0.157556186165326	0.32714195734039503	0.0989668317793318	0.10623907342657302
Desulfovibrionaceae	-1.56195568446647	0.0663226751470853	1.64645175092494	1.3163287906064198	-1.00257142479571	0.0487712426365936	Significant	Not significant	0.167968938810957	0.46875000997305105	3.12796127123408	-0.5510191496725071	-1.13000043030503	-0.9390772122462291	1.3705872265940202	-0.829574820477245	-1.38011986986826	-0.6265614918747271	0.515782581197763	1.29382583663617	-0.128236970200681	-0.0549021307680784	-0.7127724339074829	0.321412408848087	-1.06159420874809	-0.662186244601505	-0.522859474639012	-1.28227637297088	3.5538498821833997	1.36755215718716	1.22777074567539	2.18529561569186	3.0187356671618395	4.00545869798095	2.42009986334838	1.9207029153921398	3.08359409438254	5.142387142975441	3.65016008995861	2.51747308613284	5.36512250221698	4.5748292237661	2.9411013224312597	5.0554612207919005	2.32694298433553	4.1741100631264905	-0.6350489699529279	-0.505911298808133	0.0330821790102612	0.749024091101657	0.013142455816256001	0.543120635453502	0.0479487046201253	0.8765210615226979	0.0214039432789433	0.7985467657342661
Eggerthellaceae	-3.5367515016366804	1.1091336598211299	3.56281619500458	2.39974100122985	-0.8650498117242991	0.29511341021190196	Significant	Not significant	0.11132843721245099	0.29434705693789004	-4.18585092657047	-3.9033449765267796	-2.32882374068331	-3.0508611186886205	-2.11793558703309	-3.80797253427346	-2.8673873115861803	-8.67641992350903	-9.104179812167562	-2.94568190312075	-4.05662552975375	-4.7259822237485	-3.66405069056503	-3.8931363625413598	-8.55719268176468	-4.55656582357055	-3.65056040080239	-4.90518896596753	-5.07509715323718	-4.09754540025084	-8.90372934583706	-4.16236294709252	-7.1548025961725905	-9.40427797909623	-9.48224255442929	-4.76337709441901	-3.2654552367657703	-3.9085658393285203	-8.268271377381831	-2.8344783404801803	-0.8100688945598091	-1.52002858318634	-3.1526585576856	-0.63951078605546	-5.774856040696959	-2.78183077374893	-3.1067393116962405	-4.2836965823681	0.0842926011879343	0.82032182434451	0.0502690106156449	0.6763728701739671	0.0300191589405562	0.428978917868254	0.0113636363636364	0.203166278166278
Enterobacteriaceae	1.9987332428648201		4.710793869058059		0.33877804139337203		Not significant		0.33984380673302395		-6.74094407361995																		-4.47454877865616	-8.84089209002915	-9.134374854732311	-4.679233284953	-5.68209059801195	-4.19322074946694	-3.94115045491463	-9.05069980567345	-9.2108228352309	-8.070660351902111	-8.41821818043476	-2.63174829944188	-7.75318153440496	-7.42883260849653	-8.76158465189574	-8.49702341512586	-5.23130340242838	-7.77368312718433			0.48370609892268107		0.4203882166054311		0.443748100347286		0.366720085470085	
Erysipelotrichaceae	0.922140771849425	0.9016576581820219	1.1041153362952199	1.5964870138161	0.749756539473646	0.579890900113901	Not significant	Not significant	0.235867562407096	0.220273033413242	3.24159757661183	1.74989406311149	2.1587322918430303	2.14127721945052	1.4317574752207398	1.8707609949933002	3.74476975712628	4.0790761800631	2.45579035011344	1.39646125567718	1.08351774439213	1.04061844550429	3.6635240850291497	0.661897458163441	2.5411512893747403	1.1993558006387601	0.600365534958885	1.46702912450686	3.5712812584209197	3.8304504951724203	4.52071377538296	3.10937530556266	3.03099390459891	3.5961674828292103	3.3672606706469304	3.24964420586496	2.41826642250569	2.67160499948073	3.1467917513755097	4.24219522158556	1.71928023805849	1.7585236015143302	3.77688889444275	1.81372914321309	3.46254508957489	2.56316038028684	2.15005047002439	1.19907196761597	0.118630119547257	0.403563213130176	0.0688128082271425	0.125617826325681	0.16541739060399302	0.272141283040995	0.10538073038073	0.0736536033411033
Family_XIII	-0.7946068587048921	-0.0457321917468549	1.24546150798684	0.933366974153374	-0.5444927005749429	-0.0378754430332595	Not significant	Not significant	0.27290457403104895	0.47953217023476796	-0.519995573361309	-1.29203043337799	-1.48567326942286	-2.2464903957014997	-1.1694247994615001	-1.74394934204765	-1.2043216753033301	-1.28824440010204	-0.381313928448531	-1.08440427080679	-1.30963186797371	-2.1880538835123	-0.239236018270426	-1.2287287588153202	-2.19593900703295	-0.919038229315949	-1.49928945041574	-0.9305310527393109	-0.23128924153552302	-0.3658983764265879	-1.5162816747805	-1.48269816840515	-1.13055115411409	-1.2940271550853402	-0.32651896143487297	-0.8760000755010079	-0.10311038926693301	1.01150147028999	-2.2808336632025896	-0.589961401749778	0.28761089823659997	-1.39052742530155	0.38119151885815894	0.5824125509198729	-0.953035571859578	0.0285670070485526	-1.3219583282295602	-1.2628878896321798	0.304155246551706	0.85508764418526	0.23110500691243696	0.724202880950667	0.26368066599289497	0.843204741492182	0.19141899766899803	0.742325903263403
