"rab.all"	"rab.win.SH.H"	"rab.win.SH.R"	"rab.sample.C15"	"rab.sample.C27"	"rab.sample.C39"	"rab.sample.C51"	"rab.sample.C63"	"rab.sample.C75"	"rab.sample.C87"	"rab.sample.C4"	"rab.sample.C14"	"rab.sample.C26"	"rab.sample.C38"	"rab.sample.C50"	"rab.sample.C62"	"rab.sample.C74"	"rab.sample.C86"	"rab.sample.C3"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Clostridiaceae_1"	-1.58878447127762	1.61708219887332	-3.54906951910366	3.20781728321847	2.02066092899483	-1.24683062337652	2.07280077933645	-1.26194087503714	2.04483994637396	-10.5894202955195	0.527406741766556	-3.1405992834887	-1.67604437499133	-1.40133706720891	-2.36446429001932	-3.82823793603655	-9.17219663386289	-9.36063448345329	-9.3009502474085	4.7751310031304	5.73527225593463	0.82918546806663	0.120857982285373	0.0650952500113773	0.128252019279801	0.0110795454545455	0.0350382057522573	"Significant"
"Clostridiales.other"	-1.38582382449911	-1.97472079027408	-1.01076505059046	-0.665553393894712	-1.64572637017598	-2.33733528057617	-2.34402735125497	-2.41212700494674	-1.24168238791484	-1.72784664728006	-2.51195561589907	-1.01076505059046	-0.616581698414377	-0.638125602019359	-1.0693438035636	-0.68878492280301	-2.51750154932822	-1.21110491155039	-1.48207079910611	-0.830041901951874	0.954993714869095	-0.778545186216593	0.218323717405439	0.0740637113050762	0.139500841768352	0.0774609071484071	0.138677404448729	"Not significant"
"Clostridiales_vadinBB60_group"	0.551995080270161	-0.377552093572485	0.868661473653202	-1.55871329480157	-0.499731907127765	-0.391701776392768	-1.02527128859735	0.32768811175228	-0.500149775861397	1.77838439062871	1.72542035221274	1.4730608418705	0.540187120959266	0.786080165317962	0.238488006337996	1.51244428397626	0.594449493565853	1.14356361937574	0.826226336488914	-1.1297312980825	1.14060185334141	-0.778326072057783	0.257310042053938	0.0871480198296491	0.159994045214002	0.12091588966589	0.198756037264974	"Not significant"
"Desulfovibrionaceae"	4.50275169848455	3.9054203092132	5.27335812769181	4.03367026551033	3.81904689200807	4.01003809287455	3.69700385752688	2.97066745763387	4.47246232279153	4.71587997587813	1.94207888981555	5.4875219999386	6.08840473244972	5.81601407260058	5.07962836718668	4.64678913590405	4.44115270651866	4.38855623666409	5.73065046430522	-1.42882200337102	1.08273877642507	-1.23570526740106	0.0662773579261915	0.00288485426300403	0.0138672982486466	0.00280084498834499	0.0132082182863433	"Significant"
"Eggerthellaceae"	-4.49174056176882	-5.50804124814627	-3.66813611119403	-3.48913172042059	-5.41666596820642	-5.8352459469444	-6.30857328147307	-5.38730464505784	-5.55026480516653	-4.49579266621045	-10.232208850136	-3.27417326339888	-3.69782568982161	-4.15302365388867	-3.74135470068036	-5.09180149984397	-4.20923454779554	-2.40135533578167	-2.4447269858818	-1.87705343877955	1.77437651143344	-0.940441133546632	0.107422200386984	0.034201311641722	0.0791239929536934	0.0128411519036519	0.03674921555327	"Significant"
"Erysipelotrichaceae"	2.30060257239069	2.28134244189394	2.35452017386819	3.13524013070495	2.40772141903162	2.13763699788538	2.28100327762933	2.1658475900098	2.25414174299259	1.9341850661633	2.76333114016553	1.81372249939421	0.841766735084286	2.55512207666205	1.82924749869768	2.1806980889165	4.23245028164318	3.46857870268489	3.23407829020464	-0.0917582063685365	1.1098522765762	-0.0691542715744192	0.471734901766446	0.744009258237968	0.812721267953843	0.855662393162393	0.914087941402913	"Not significant"
"Family_XIII"	-1.33991155029209	-1.35664214211149	-1.33031903899467	-1.00400338709381	-1.95692854400835	-0.674170161806856	-1.56018445163413	-1.02287212578935	-1.19469723381094	-2.50479209665103	-1.90133361830831	-1.10799649362133	-1.63020233554211	-0.873811981889823	-1.36918189750003	-1.64169435642755	-0.941508487286725	-1.7906740967103	-1.29597282951019	-0.123755896655681	0.768254946665614	-0.12736431352806	0.441406268885782	0.608191893167577	0.700260328033896	0.722627719502719	0.808042278401027	"Not significant"
"Gastranaerophilales.other"	2.05085124682779	1.82556133441531	2.20348361164047	1.63964113224424	3.92066398431817	1.18371489865221	4.36634542294001	1.48227286732661	1.91140636095751	1.51548349981887	4.40414223925323	2.69412305181421	0.907607611249704	2.31133591731273	1.69561568482884	3.93579161154851	2.39059449332595	2.20816822174919	1.72234804556623	0.0116670976249424	1.98731457178395	0.0080856001879845	0.495126707196311	0.601945255313866	0.722121267134987	0.902345571095571	0.941030068551698	"Not significant"
"Lachnospiraceae"	6.00853601945397	5.22592756224563	6.73565605628159	5.98965490279143	4.84624321182803	4.79075534347534	5.37660087160885	4.36597380531247	6.10601944658753	5.91385758714847	4.1598627578839	7.21365700563704	7.71254786167039	7.40867713331199	6.47041105951543	6.22979130002807	6.0008483811202	5.5021443256767	6.94277650770418	-1.45902205189316	1.20972229497325	-1.21664259027516	0.0761723536427265	0.00242325164045083	0.0129448398851474	0.00446168414918415	0.0178256639194139	"Significant"
"Lactobacillaceae"	0.957659710947246	1.09341959859444	0.563961240488461	1.98051383549241	-0.536333515993126	1.57276442737524	0.999666831004719	1.61892688812564	0.0932275795346253	1.1207747567341	0.88874764812046	0.469124729914151	0.404257748093589	1.40365838419207	0.183799873243554	0.160551028394318	1.98933098302254	0.478793781047263	2.03590897639457	0.135528244779798	1.2986403766416	0.13547471028777	0.470703134345298	0.8163476013397	0.861699987146232	0.823455710955711	0.896775332282558	"Not significant"
"Marinifilaceae"	3.38536820538548	2.53866011148423	3.81373201807939	2.42567200485237	2.36195691173635	2.49124901829177	2.36478011853076	2.21777398892142	2.77936144291198	4.75508515533553	3.42730148035206	3.91447738387159	4.64896140118476	3.59919068336435	2.94980486536992	3.88522760778698	3.74130208014084	3.40907605008717	4.02776926624465	-1.12581477832705	0.866733898883924	-1.00788015958197	0.154297085544634	0.0300247834391351	0.0798623996925926	0.0218142968142968	0.0578566592935037	"Significant"
"Mollicutes_RF39.other"	1.67748790489457	1.39836790258292	2.19329257636618	0.825314346676531	1.46341047326013	0.580419547700462	1.30759865403941	0.649684598000425	1.59730439938791	2.00411657481883	2.925719775795	2.12975820631	1.18698106083385	3.4068616418886	1.18961733511932	2.38344726015429	2.29783152838495	2.69568324347559	1.68468132600935	-0.733318810347405	1.17064706895897	-0.610149153924546	0.232421994197863	0.103974268851106	0.179823252016828	0.113657002719503	0.188299841114677	"Not significant"
