"rab.all"	"rab.win.OVA_t.H"	"rab.win.OVA_t.RT"	"rab.sample.C1"	"rab.sample.C18"	"rab.sample.C30"	"rab.sample.C42"	"rab.sample.C54"	"rab.sample.C66"	"rab.sample.C78"	"rab.sample.C90"	"rab.sample.C7"	"rab.sample.C19"	"rab.sample.C31"	"rab.sample.C43"	"rab.sample.C55"	"rab.sample.C67"	"rab.sample.C79"	"rab.sample.C91"	"rab.sample.C8"	"rab.sample.C20"	"rab.sample.C32"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Clostridiaceae_1"	-1.07281575878225	-0.0461605257811506	-2.8021236620263	2.46811026670523	-8.87330177637106	0.486186327899061	-0.560887040877084	-0.111063807054728	2.29748087329409	1.0932136181451	-1.61493597932004	-4.86215747820462	-3.26640203259515	-3.49261925713659	-2.70830196969389	-3.47002897670976	-0.123356941544301	1.5632850386291	-9.06998175938051	-3.22289440091664	-0.633382981764137	-1.05360241969293	1.93104922851535	4.27740836967124	0.37617713109934	0.331597269932647	0.387963894114129	0.673163054530644	0.19351079937864	0.618703528256893	"Not significant"
"Clostridiales.other"	-2.42064701851826	-2.61870343520411	-2.19086275268688	-2.59024863742803	-1.31621906090318	1.30758392387893	-3.98932392523318	-4.70124184859333	-3.16131203419964	-2.12008263795151	3.30353648137956	-3.37720619683672	-1.2200390868614	-8.49175773005729	1.38137641515281	-2.39849549303908	-3.07716636867434	-2.01257968514039	-1.07955625655119	-1.21495035619761	-4.59977978954969	-4.73327882219684	0.298865303223231	3.78438506786066	0.0794694155015885	0.463541675872972	0.488081737067449	0.714337817348269	0.84677662701076	0.951757670031399	"Not significant"
"Clostridiales_vadinBB60_group"	-0.0968326151371048	0.418287789286791	-0.291265611723889	-0.422994266106285	0.733346600961862	1.08697279803717	-0.0990721747640029	-1.09433656269943	-1.51295732859009	0.454802974526036	0.826645155731429	0.812656542804048	-0.518675680805522	-1.66368371193154	-0.101280405432476	0.932240283909136	-0.108777783164096	0.123511015944484	1.21896395861312	-0.519627130883331	-1.40395481562548	-1.49852436401764	0.494966133275921	1.44266274345915	0.353520097765133	0.376083221954702	0.362351609085125	0.670685574969955	0.381518732815173	0.743505856676285	"Not significant"
"Desulfovibrionaceae"	4.54288441260894	3.66715145283366	4.72265404675507	4.68691114888855	6.73447509762273	5.17930046597097	4.81045808028533	2.00616295482835	3.6635462413282	2.82229858444914	1.70188983055646	2.7642696343122	5.40172236748433	4.35898326441181	4.40684446950487	4.79992645808181	5.34020617665167	6.0653295858717	6.1202066555733	4.38485095106581	2.88234493828727	2.33255581392374	-0.925302321704812	2.15856792589671	-0.40291632161169	0.34027782245476	0.2744173981771	0.620148404385847	0.296306006300201	0.680962334991002	"Not significant"
"Eggerthellaceae"	-3.70900557858451	-3.51438994785834	-3.7993006341003	-3.47668497108178	-1.30442759169284	-3.0455123645714	-9.01210345598922	-8.97811981103243	-2.56962847276681	-8.47547480044987	-4.05919183098168	-2.98661911568584	-4.15603194753422	-3.32090012146241	-4.21551854914163	-4.79874032681555	-1.72387964220728	-2.74249756004047	-2.45733639883854	-4.82224634249143	-9.32315946025994	-3.71110404415127	-0.2118145161109	3.90379138538408	-0.0469011821899576	0.473958339892094	0.54887295415859	0.747765902840224	0.822323090995692	0.937951357506607	"Not significant"
"Erysipelotrichaceae"	3.34566326985653	2.64515215231997	3.57592036652546	3.36721599128393	1.83920824920413	1.95220816741992	2.05208356729141	3.82453095017871	3.63260163928412	3.5164433438322	2.61569885091188	2.25957804889286	3.34881589090243	4.22477026517453	3.87460031453096	3.16840061667813	3.12186406905007	2.64476060800632	3.32980974191322	3.73350368070132	3.88871931881019	4.55529449824869	-0.832449915608724	1.14481283205633	-0.720691368461703	0.244367504307653	0.03792048486388	0.277251171716557	0.0682616532074736	0.409160694965638	"Not significant"
"Family_XIII"	-1.34297023551502	-1.00217748351091	-1.41486681810319	-2.18428802167887	-0.466187861396453	-1.94956140697396	-1.79823974512554	-0.422545281630522	-0.939307633035314	-0.727697915069027	-0.565487372104694	-1.79703059163288	-2.02134985444884	-0.308519568385472	-1.497449363587	-1.62737168152622	-1.39123769271453	-1.19007362996927	-0.761355045806357	-1.50905849341046	-1.38994314602985	-2.00753292776779	0.20009129714015	1.03818551116573	0.179606878534209	0.424610071302413	0.615893767846522	0.791048840523156	0.653562333564269	0.881469954299326	"Not significant"
"Gastranaerophilales.other"	1.86657956239639	-0.5378177871609	2.58448526072321	-1.41246195221667	-3.48908030810394	-3.08038624698702	1.56770043054453	3.22367865113693	-0.48832670101314	-0.183593046652499	-1.82051163863973	1.8621529940477	2.43629747213368	2.91333159266427	2.11989447905358	2.61799264474698	0.491885826972108	2.43267793846305	1.45291756838849	3.89749486938307	4.62475698890834	4.12168212823355	-3.23834658240637	2.54785592153901	-1.12397917136196	0.125000215289861	0.00365230943048577	0.066430049899709	0.00390904084305787	0.0637051508701567	"Significant"
"Lachnospiraceae"	5.04594410111153	4.91704273686242	5.14660382149398	5.13344374505785	7.68663237702489	5.5460521981099	5.83485838861756	4.72583119755399	4.29099093102833	4.01536050464538	4.77626418039999	4.76267251188134	4.98104916924832	4.07313061535664	5.59589355494558	5.12435854499186	5.72762207520469	6.09586031256562	6.68696345115729	5.05148911608433	4.15163924815444	4.23925578434543	-0.0809563307278856	1.37408426273033	-0.0551520261981642	0.472222229220857	0.85544346920146	0.922312191044726	0.834931781647145	0.937189791422856	"Not significant"
"Lactobacillaceae"	1.05864757664552	1.45034749755839	0.242874709502905	1.52316393185282	4.2647498047889	1.98158524736972	1.17816374825171	0.990909682241205	1.79638754347086	1.25696171029717	1.41718447413714	1.16066716067266	-0.117158564230822	1.09541683685103	0.678528965546001	0.467834730640988	1.73523074178401	-0.626384559558151	0.871182048345368	-0.278495802788116	-0.702604780119448	-0.26682824368383	1.39589891640491	1.04598222282781	1.13482302778633	0.111111358357567	0.00533125287170859	0.0760629819079024	0.00378675117452207	0.061901274894696	"Significant"
"Marinifilaceae"	3.64601386343853	3.54408001338197	3.72080945505102	3.00170604382774	4.68858769748359	4.44325100537049	3.19816131198361	3.40320818936299	3.4654740911627	3.12331773604492	4.22498191786246	3.60260114283015	3.74944727199135	3.27890905444055	3.05972928722391	3.73069142436945	3.67040764630234	4.08166391368421	4.25621522984049	3.5932784287381	3.44153807297039	4.31586226442849	-0.101362863918073	0.824606348836411	-0.109442179635572	0.451388901215208	0.748357681596619	0.855021359675992	0.72454717302821	0.891655670634533	"Not significant"
"Mollicutes_RF39.other"	2.52942516244529	2.02736796140499	2.6449836953343	0.854895248685195	0.77795928259181	2.8085390503217	1.67376257747589	3.90414582900718	1.93790266750033	2.6141936453853	3.32053178173364	0.34648574735732	2.40241747873432	2.34603180902095	3.01813126246783	1.77962112401403	2.17861833411957	2.74473095165901	3.68362568280698	2.68378800758429	2.67895470433746	2.97404497537284	-0.603254647080415	1.4219493857269	-0.397993085259412	0.35875220479875	0.213323667175383	0.601552682518283	0.300713170343588	0.681800232416258	"Not significant"
"Muribaculaceae"	8.79117419972449	8.72747107227621	8.82948802343323	8.40840198374036	9.31452255397681	8.95444216292546	8.68844484179739	8.31034843681108	9.06493628728602	9.58337280805771	8.37505445705495	8.22050159563033	8.48365938436714	9.48336480532259	9.28330322295239	8.83120383812644	8.26513594804302	8.40035647420609	8.90932506964955	8.84816545432611	9.0299466648729	8.74695150816801	-0.0678732400002815	0.727250966840726	-0.103259010519852	0.448873496467883	0.69225307565051	0.822844481047082	0.698407629522181	0.880703070870163	"Not significant"
