	Aerococcaceae	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacillaceae	Bacilli other	Bacteria other	Bacteroidaceae	Bacteroidales other	Bacteroidetes other	Bacteroidia other	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Caldicoprobacteraceae	Carnobacteriaceae	Chloroplast other	Christensenellaceae	Clostridia other	Clostridiaceae_1	Clostridiaceae_2	Clostridiales other	Clostridiales_vadinBB60_group	Corynebacteriaceae	Cyanobacteria other	Deltaproteobacteria other	Desulfovibrionaceae	Eggerthellaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XIII	Firmicutes other	Gammaproteobacteria other	Gastranaerophilales other	Lachnospiraceae	Lactobacillaceae	Lactobacillales other	Marinifilaceae	Mitochondria	Mollicutes other	Mollicutes_RF39 other	Moraxellaceae	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Proteobacteria other	Reyranellaceae	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillales other	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Staphylococcaceae	Tannerellaceae	Veillonellaceae	Verrucomicrobiales other
C27	0	14269	6	0	0	0	0	4255	3	0	0	3	41	1443	15	0	0	362	0	1232	0	95	217	0	0	0	4275	7	1601	0	77	0	0	4582	8677	208	0	1549	0	0	841	2	23607	0	124	162	0	0	6857	4	0	0	0	2151	13508	6953	0	0	1813	0	0
C39	0	15207	0	4	0	0	0	2245	11	0	0	0	101	2100	17	0	0	224	0	121	0	57	217	0	0	0	4627	5	1266	0	180	0	0	651	7969	854	0	1612	0	0	430	0	45842	0	80	78	0	0	7062	0	0	0	0	337	12717	7169	0	0	1108	0	0
C51	0	18924	0	0	0	0	3	4872	3	0	2	3	30	1403	0	0	0	236	0	1418	0	65	163	0	0	3	4358	4	1623	0	114	0	0	6917	13976	670	0	1723	0	0	838	0	21458	0	127	224	0	0	7829	0	0	0	0	607	10825	9858	0	0	4703	0	0
C63	0	19634	0	4	0	0	0	3769	4	0	0	0	148	2777	21	0	0	322	0	122	0	57	371	0	0	0	2335	7	1319	0	143	0	0	831	6111	913	0	1385	0	0	465	0	48293	0	30	82	0	0	7020	0	0	0	0	816	11890	7472	4	0	1196	0	0
C75	0	5826	0	0	0	0	18	2529	6	0	3	2	13	1294	64	0	0	189	0	1885	0	191	322	0	0	0	10162	9	2174	0	195	0	0	1722	31526	486	0	3135	0	0	1386	0	35384	0	268	173	0	0	5395	2	0	0	0	339	15928	16070	2	0	1079	0	0
C87	0	10241	0	3	0	0	3	4302	14	0	2	0	149	1468	25	0	0	87	0	0	0	92	1071	0	0	0	8252	13	1192	0	55	0	0	898	18827	673	0	8474	3	0	1257	0	40155	0	106	19	0	6	7433	5	0	0	0	393	10546	8663	0	0	310	0	0
C4	0	21633	0	0	0	2	2	4316	0	0	0	0	46	1264	23	5	0	131	0	380	0	45	860	0	0	0	1016	0	1789	0	71	0	0	5583	4732	487	0	2817	0	0	2001	0	31495	0	53	99	9	0	12279	0	0	0	0	1815	13612	11811	0	0	2181	0	0
C16	0	13560	0	0	0	0	12	2590	3	0	3	2	177	2781	0	0	0	148	0	975	0	122	410	0	0	0	5541	10	1637	0	215	0	0	789	16892	259	0	2652	0	0	957	0	56571	0	262	176	0	0	9224	0	0	0	0	421	8679	9607	0	0	1614	0	0
C28	0	10104	0	0	0	0	2	2019	8	0	0	0	374	3807	0	0	0	99	0	754	0	17	351	0	0	0	2536	17	2975	0	40	0	0	543	4712	457	0	1934	0	0	1061	0	61492	8	88	155	0	0	8284	0	0	0	0	951	8098	5267	0	0	167	0	4
C40	0	1434	0	0	0	0	11	2304	4	0	0	2	205	2675	6	0	0	69	0	648	4	38	173	0	0	0	10758	16	2418	8	151	0	0	612	11468	696	0	2159	0	0	2212	0	44900	0	232	219	0	0	8360	0	0	0	0	410	13451	13317	0	0	366	0	0
C52	0	8421	0	0	0	0	16	2310	6	0	3	0	282	3071	0	0	0	102	0	365	3	63	550	0	4	3	11939	5	2110	0	42	0	0	862	11226	294	0	2633	0	0	594	0	73534	0	359	71	0	0	4447	7	0	0	0	1389	10083	9894	0	0	604	0	0
C64	0	1621	0	0	0	0	14	4026	0	0	0	0	161	1888	0	0	0	59	0	0	0	98	395	3	0	0	5510	13	1252	0	33	3	0	532	14607	403	0	1167	0	0	820	0	30455	6	219	68	0	0	11429	0	0	0	0	525	8806	7389	0	0	1086	0	0
C76	0	1393	0	0	0	0	5	3416	4	0	2	0	731	5107	12	0	0	76	0	9	0	16	197	0	0	0	1977	15	3262	0	55	0	0	359	4316	563	0	2567	0	0	808	10	72111	6	65	211	0	3	8115	0	0	5	0	295	9165	5692	0	0	283	0	0
C88	0	9919	0	0	0	0	4	10136	0	0	0	0	631	5408	0	0	0	123	0	0	0	55	550	0	0	0	8398	27	3464	0	75	0	0	2253	12218	315	0	2290	0	0	1661	0	52953	0	315	112	0	0	3903	0	0	0	0	994	16454	8071	0	0	2720	0	3
C5	0	2917	0	4	0	0	7	4254	4	0	0	0	464	4777	0	0	3	148	0	14	0	59	366	0	0	0	1858	8	2502	0	81	0	0	361	7547	623	0	2042	0	0	1668	0	71480	0	67	73	0	0	6675	0	0	0	0	756	11747	10777	0	0	361	0	0
