"rab.all"	"rab.win.OVA.H"	"rab.win.OVA.R"	"rab.sample.C17"	"rab.sample.C29"	"rab.sample.C41"	"rab.sample.C53"	"rab.sample.C65"	"rab.sample.C77"	"rab.sample.C89"	"rab.sample.C6"	"rab.sample.C16"	"rab.sample.C28"	"rab.sample.C40"	"rab.sample.C52"	"rab.sample.C64"	"rab.sample.C76"	"rab.sample.C88"	"rab.sample.C5"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Clostridiaceae_1"	1.76319156643677	2.44262928519336	-1.48932387239366	2.48502339379575	2.2403745998464	2.28593091421691	1.18445806802197	2.84521057968312	2.69475569649008	2.20658894251374	2.63279853968938	1.76464250464692	1.74899418593221	1.33763886553769	0.519133353272976	-9.5158688822125	-4.56398674314158	-9.32110712092147	-3.88418042635022	3.47670583261051	5.18535103339511	0.926975916411903	0.0449227178997418	0.0255552896846699	0.0872678146631088	0.00120920745920746	0.0137951530529656	"Significant"
"Clostridiales.other"	-2.04371086204596	-2.05867640743608	-2.03547892967147	-3.84308177039865	-2.54122684490927	-1.31540210654783	-2.05916340965474	-2.9738313763145	-1.89361281188002	-1.1300741037762	-1.90048818788089	-1.19837088346599	-3.71549004522468	-2.79872962639097	-2.02468992766363	-0.643982746530455	-3.72658224854062	-1.90965416649533	-1.80385511400232	-0.0297351775396137	1.44545226368293	-0.0156158176484514	0.488281253727333	0.823576575359427	0.87042508867107	0.84855405011655	0.899062450354156	"Not significant"
"Clostridiales_vadinBB60_group"	0.270464651426869	-0.241054053580758	0.751008985022412	0.374909085406732	-1.04567614382742	-0.307372230403849	0.225502754764095	-0.374250655332836	-1.33253471799919	0.535560670908572	-0.358435715427862	0.52170529551663	0.666541795900722	-0.547366500606	1.100494251172	1.37839193002026	-0.169323903664409	1.43029994177868	0.794869651461007	-0.937594123152842	1.03886501998853	-0.88101918533037	0.164062694666672	0.0254529303943063	0.0851526947642362	0.0303115287490287	0.09370032539185	"Significant"
"Desulfovibrionaceae"	4.61628367595623	4.61205648354489	4.73521313335369	4.15352816385058	4.66083760015631	5.31797095595199	3.94224471174937	4.94914140384918	4.55332268599415	6.00652107610108	3.92596568468723	4.28099383786317	3.50327573657667	5.38349820244976	5.55426332843172	5.16664897136183	3.14834965646695	5.33583187373617	3.13388257730153	0.293236752433426	1.34109114204161	0.183620993753994	0.443359393239607	0.591376972825963	0.701825663516268	0.76440608003108	0.85243658994843	"Not significant"
"Eggerthellaceae"	-4.80206474823061	-6.0163135529054	-4.05209142019768	-10.3389449313238	-5.96867085304839	-3.65352383139889	-6.06232473273417	-4.3388529002048	-10.0379775293188	-6.32658547661551	-5.57426157080118	-4.91505197909095	-3.729417682144	-4.01187364539247	-5.63982937507182	-3.51469667484614	-3.86375432704022	-2.95008520250083	-4.72781883879168	-1.91824205675594	2.26884750984458	-0.752263152087546	0.165692199240625	0.0453879597100339	0.124345223641196	0.0335275835275835	0.0992805890542269	"Significant"
"Erysipelotrichaceae"	2.92624026107686	2.23323436732818	3.43747946658457	3.02183475607629	2.26163542140768	2.95263442644503	1.9008337007352	2.11797797655769	2.78734687113424	1.5579971808501	1.99141106118771	2.52835480838086	3.73031005865255	3.22904539192484	3.04714065473904	3.02246248672405	3.87012801655281	4.05895442641348	3.55817649747654	-1.07246642311042	0.854661632798734	-1.23333657733249	0.0839848047518494	0.0029749331129337	0.0281579196667783	0.00566603535353535	0.0317917055937889	"Significant"
"Family_XIII"	-0.940105142576813	-0.592038927817863	-1.70620990287503	-1.37745290992071	-0.727246748813623	-0.446190310925348	-0.593674781684932	-0.00762894139658687	-1.2732507353866	-0.280686611855907	-0.559564405438159	-0.417296979190357	-2.40782495997375	-0.747018692196075	-2.61073609935983	-2.2005063941437	-1.99502171313362	-1.49635445126569	-1.35340517805823	1.04568359693463	0.989773689223158	0.978764982314271	0.15625020721677	0.0181505422259593	0.0715816020838647	0.0293074980574981	0.0918469749246264	"Significant"
"Gastranaerophilales.other"	1.83930270905694	2.39125916514951	1.42072285075063	2.7388163716498	2.35668784656096	0.969097867495081	3.47545192242175	2.40493054646552	2.49851375174528	1.65463890591122	2.28166593327444	1.46321506662868	1.29209334265776	1.26662912881987	1.75871956915207	1.79439942861942	0.698314799908769	3.43990905915904	0.77446123644707	0.864844132903386	1.11126717077143	0.684812455785123	0.202729190431447	0.0995268414694391	0.222718020931429	0.0740081099456099	0.180262334252946	"Not significant"
"Lachnospiraceae"	5.57563965213062	5.62989217341309	5.47218468103398	5.50996996101175	5.59385355928147	5.86681667716075	5.65481762993528	5.68799589123295	5.31414377159629	6.52207563521969	4.72600481355933	5.89240241702613	4.39576150962651	5.47552640582111	5.45850167341451	6.57926449744746	4.27277310492945	5.87289953122925	5.15790746974949	0.190481998510438	0.995974013278	0.186363917998632	0.401559486619509	0.520924920072793	0.656964580541602	0.606684634809635	0.733778904482504	"Not significant"
"Lactobacillaceae"	1.12150749010906	1.05189706622243	1.19113337008888	1.30874066721121	0.924887638971867	1.66670608771636	0.854643930391084	1.17892677287557	0.364467906004404	-0.862881140544776	1.66752463484306	-0.122414848826259	1.05613234770463	1.47448297508676	0.21220503621135	1.38560671323352	1.34762901697722	0.588498995373363	1.55862396294772	0.0119233835098154	1.09847643644236	0.00840559626972834	0.496093751241838	0.840546061279638	0.882834213813522	0.829129030691531	0.885869332209833	"Not significant"
"Marinifilaceae"	3.13051546280261	2.88045230338298	3.26001128784116	3.81208752789255	2.77582474186114	2.59744557988986	2.97424775221247	2.68152831881678	2.87913635915191	4.00451358382172	2.68096269604612	3.22520365654986	3.12777621159634	3.0778406476982	3.37162051620183	2.91401937150429	3.51707549555278	3.45206148894347	3.28061990709841	-0.312106730656594	0.554328273492312	-0.458726038569188	0.314453193403536	0.447237179187993	0.583192974559576	0.24779526029526	0.409690442601928	"Not significant"
"Mollicutes_RF39.other"	1.9184384761792	1.6181095176809	2.34521260307638	2.045482336627	1.25910924143655	1.57948688146003	1.97390455242284	1.55267804973273	1.20357479331558	2.46978179711882	1.28770258596971	1.73721660183932	2.24464452672932	3.10332543515551	1.20837845394265	2.42427720911763	1.8618305753591	2.99160110457877	2.972183352303	-0.702888114410018	0.898165496893128	-0.770383225862005	0.236328241107185	0.0620571522025659	0.158257091339753	0.08715641996892	0.20442974521765	"Not significant"
"Muribaculaceae"	7.620079788048	7.24484018353448	8.03454089678816	7.44384019401807	6.96149739235107	7.1508723876247	6.42580942680958	7.20043189076561	7.88194464111583	7.12140066266583	7.620079788048	7.64340824980788	8.10492190730011	7.45531945403877	8.17611243597244	7.63595028777869	8.33482265371106	7.98954703119813	8.39094226721355	-0.744963569039241	0.636651976130227	-1.13288738363774	0.113281555960186	0.00814720417055934	0.0416316373900843	0.0106534090909091	0.0444052236505616	"Significant"
